V real;V medido;angulo
4.138;4.084;-3.936935702
4.138;4.076;-4.628895019
4.138;4.065;-4.36295065
4.138;4.057;-4.859455894
4.138;4.042;-4.380470307
4.138;4.039;-4.6100523
4.138;4.024;-4.819799037
4.138;4.014;-4.858623826
4.138;4.009;-5.088343357
4.138;3.99;-5.067944871
4.138;3.978;-5.088343357
4.138;3.971;-5.296467656
4.138;3.959;-5.296467656
4.138;3.947;-5.524684247
4.138;3.936;-5.546121897
4.138;3.925;-5.773801752
4.138;3.912;-6.004123259
4.138;3.892;-5.750722146
4.138;3.877;-6.206170985
4.138;3.86;-6.434135583
4.138;3.851;-6.459904259
4.138;3.829;-6.710999707
4.138;3.815;-7.169164496
4.138;3.793;-7.142219492
4.138;3.774;-6.940193592
4.138;3.763;-7.167354776
4.138;3.736;-7.397905441
4.138;3.715;-7.397905441
4.138;3.699;-7.624487005
4.138;3.678;-7.594107337
4.138;3.658;-7.196180524
4.138;3.639;-7.594107337
4.138;3.614;-7.594107337
4.138;3.595;-7.108506156
4.138;3.577;-7.877435112
4.138;3.555;-7.62027502
4.138;3.534;-7.648529285
4.138;3.517;-7.877435112
4.138;3.498;-8.076187415
4.138;3.472;-8.303761786
4.138;3.454;-8.100795193
4.138;3.431;-8.525827443
4.138;3.41;-8.331829241
4.138;3.386;-8.329043634
4.138;3.364;-9.012166483
4.138;3.345;-8.966628507
4.138;3.323;-9.041704174
4.138;3.304;-9.005723044
4.138;3.284;-9.229191378
4.138;3.266;-9.52762962
4.138;3.244;-9.489692636
4.138;3.225;-9.52762962
4.138;3.21;-9.712749538
4.138;3.196;-9.751510964
4.138;3.17;-9.670149364
4.138;3.154;-10.24265139
4.138;3.137;-10.42403128
4.138;3.121;-10.24265139
4.138;3.11;-10.42403128
4.138;3.096;-10.42403128
4.138;3.079;-11.18557043
4.138;3.067;-10.90938528
4.138;3.06;-10.68785007
4.138;3.043;-10.86622082
4.138;3.036;-10.64547909
4.138;3.019;-10.90938528
4.138;3.015;-10.90938528
4.138;2.999;-11.17448394
4.138;2.989;-10.86082809
4.138;2.981;-11.35025583
4.138;2.967;-11.17448394
4.138;2.959;-10.90392805
4.138;2.948;-10.90392805
4.138;2.937;-11.11854206
4.138;2.924;-11.35610468
4.138;2.92;-11.84122104
4.138;2.906;-11.38923242
4.138;2.899;-11.39532953
4.138;2.889;-12.11455146
4.138;2.88;-11.56956332
4.138;2.868;-11.17448394
4.138;2.862;-11.40124838
4.138;2.855;-10.94736435
4.138;2.85;-10.90392805
4.138;2.842;-11.13019189
4.138;2.842;-10.6350731
4.138;2.835;-10.88138109
4.138;2.823;-10.15221699
4.138;2.82;-10.42403128
4.138;2.817;-10.42403128
4.138;2.816;-10.20189182
4.138;2.81;-10.42872043
4.138;2.808;-10.46560057
4.138;2.798;-9.935161227
4.138;2.797;-9.755597069
4.138;2.797;-9.489692636
4.138;2.79;-9.52762962
4.138;2.784;-9.262296871
4.138;2.78;-9.232710721
4.138;2.781;-8.819914015
4.138;2.775;-8.77844997
4.138;2.773;-8.816803691
4.138;2.768;-8.557026149
4.138;2.765;-8.36526963
4.138;2.762;-7.65084582
